timestamp,temperature_c,vibration_mms,pressure_bar,rpm,oil_level,machine_id,failure
2023-01-01 00:00:00,77.48,0.458,94.57,2978,0.622,M01,0
2023-01-01 01:00:00,74.31,0.455,97.56,2995,0.994,M02,0
2023-01-01 02:00:00,78.24,0.32,95.22,3010,0.92,M02,0
2023-01-01 03:00:00,82.62,0.467,100.88,3142,0.948,M05,0
2023-01-01 04:00:00,73.83,0.573,109.58,2888,0.878,M05,0
2023-01-01 05:00:00,73.83,0.373,93.83,2873,0.674,M01,0
2023-01-01 06:00:00,82.9,0.605,108.01,3185,0.612,M05,0
2023-01-01 07:00:00,78.84,0.549,93.75,2931,0.946,M02,0
2023-01-01 08:00:00,72.65,0.427,93.22,2811,0.759,M05,0
2023-01-01 09:00:00,77.71,0.486,106.55,2927,0.706,M04,0
2023-01-01 10:00:00,72.68,0.66,107.38,2950,0.825,M02,0
2023-01-01 11:00:00,72.67,0.573,106.81,3233,0.768,M04,0
2023-01-01 12:00:00,76.21,0.501,89.47,3139,0.861,M05,0
2023-01-01 13:00:00,65.43,0.476,96.27,3172,0.794,M03,0
2023-01-01 14:00:00,66.38,0.508,106.58,3123,0.879,M01,0
2023-01-01 15:00:00,72.19,0.449,100.33,3142,0.941,M02,0
2023-01-01 16:00:00,69.94,0.29,91.41,2897,0.678,M04,0
2023-01-01 17:00:00,76.57,0.704,103.67,2970,0.732,M03,0
2023-01-01 18:00:00,70.46,0.516,94.28,2852,0.775,M03,0
2023-01-01 19:00:00,67.94,0.54,114.36,2968,0.985,M02,0
2023-01-01 20:00:00,82.33,0.494,112.36,3103,0.746,M02,0
2023-01-01 21:00:00,73.87,0.426,104.83,3020,0.752,M03,0
2023-01-01 22:00:00,75.34,0.481,110.89,3197,0.861,M01,0
2023-01-01 23:00:00,67.88,0.34,100.52,2829,0.768,M01,0
2023-01-02 00:00:00,72.28,0.728,106.12,3075,0.98,M04,0
2023-01-02 01:00:00,75.55,0.377,111.82,2813,0.958,M01,0
2023-01-02 02:00:00,69.25,0.397,101.96,3014,0.805,M03,0
2023-01-02 03:00:00,76.88,0.456,97.96,3111,0.858,M03,0
2023-01-02 04:00:00,72.0,0.629,86.36,2968,0.623,M05,0
2023-01-02 05:00:00,73.54,0.501,99.33,3083,0.878,M03,0
2023-01-02 06:00:00,71.99,0.376,106.59,2856,0.883,M01,0
2023-01-02 07:00:00,84.26,0.625,107.57,2750,0.744,M04,0
2023-01-02 08:00:00,74.93,0.573,104.03,3084,0.688,M05,0
2023-01-02 09:00:00,69.71,0.554,95.67,3262,0.966,M01,0
2023-01-02 10:00:00,79.11,0.572,84.19,2851,0.771,M04,0
2023-01-02 11:00:00,68.9,0.739,96.04,3183,0.861,M01,0
2023-01-02 12:00:00,76.04,0.719,97.57,3007,0.613,M05,0
2023-01-02 13:00:00,65.2,0.431,97.5,2800,0.766,M03,0
2023-01-02 14:00:00,68.36,0.662,104.95,2830,0.927,M05,0
2023-01-02 15:00:00,75.98,0.538,115.89,3002,0.755,M03,0
2023-01-02 16:00:00,78.69,0.55,100.99,2939,0.841,M05,0
2023-01-02 17:00:00,75.86,0.331,98.27,2803,0.684,M02,0
2023-01-02 18:00:00,74.42,0.483,97.93,2746,0.767,M01,0
